Ticker,Date,Signal,Price
INFY.NS,2025-07-24,BUY,"Ticker
INFY.NS    1552.5
Name: 2025-07-24 00:00:00, dtype: float64"
INFY.NS,2025-07-25,BUY,"Ticker
INFY.NS    1515.699951
Name: 2025-07-25 00:00:00, dtype: float64"
INFY.NS,2025-07-28,BUY,"Ticker
INFY.NS    1516.0
Name: 2025-07-28 00:00:00, dtype: float64"
INFY.NS,2025-07-29,BUY,"Ticker
INFY.NS    1513.699951
Name: 2025-07-29 00:00:00, dtype: float64"
TCS.NS,2025-04-29,SELL,"Ticker
TCS.NS    3430.265869
Name: 2025-04-29 00:00:00, dtype: float64"
TCS.NS,2025-04-30,SELL,"Ticker
TCS.NS    3411.69458
Name: 2025-04-30 00:00:00, dtype: float64"
TCS.NS,2025-05-05,SELL,"Ticker
TCS.NS    3412.287354
Name: 2025-05-05 00:00:00, dtype: float64"
TCS.NS,2025-05-06,SELL,"Ticker
TCS.NS    3417.917969
Name: 2025-05-06 00:00:00, dtype: float64"
TCS.NS,2025-05-07,SELL,"Ticker
TCS.NS    3403.199219
Name: 2025-05-07 00:00:00, dtype: float64"
TCS.NS,2025-05-08,SELL,"Ticker
TCS.NS    3406.952881
Name: 2025-05-08 00:00:00, dtype: float64"
TCS.NS,2025-05-09,SELL,"Ticker
TCS.NS    3398.45752
Name: 2025-05-09 00:00:00, dtype: float64"
TCS.NS,2025-05-12,SELL,"Ticker
TCS.NS    3576.366943
Name: 2025-05-12 00:00:00, dtype: float64"
TCS.NS,2025-06-04,BUY,"Ticker
TCS.NS    3369.465088
Name: 2025-06-04 00:00:00, dtype: float64"
TCS.NS,2025-06-05,BUY,"Ticker
TCS.NS    3359.698242
Name: 2025-06-05 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-21,BUY,1428.5999755859375
RELIANCE.NS,2025-07-22,BUY,1412.800048828125
RELIANCE.NS,2025-07-23,BUY,1424.5999755859375
RELIANCE.NS,2025-07-24,BUY,1402.9000244140625
RELIANCE.NS,2025-07-25,BUY,1391.699951171875
RELIANCE.NS,2025-07-28,BUY,1387.5999755859375
RELIANCE.NS,2025-07-29,BUY,1417.0999755859375
RELIANCE.NS,2025-07-30,BUY,1410.0999755859375
RELIANCE.NS,2025-07-31,BUY,1390.199951171875
INFY.NS,2025-04-30,SELL,1479.2862548828125
INFY.NS,2025-05-05,SELL,1487.6683349609375
INFY.NS,2025-05-06,SELL,1490.528076171875
INFY.NS,2025-05-07,SELL,1487.37255859375
INFY.NS,2025-05-08,SELL,1490.4295654296875
INFY.NS,2025-05-09,SELL,1486.6822509765625
INFY.NS,2025-05-12,SELL,1604.3270263671875
INFY.NS,2025-05-13,SELL,1546.8358154296875
INFY.NS,2025-05-14,SELL,1570.3056640625
INFY.NS,2025-05-15,SELL,1590.6197509765625
INFY.NS,2025-07-24,BUY,1552.5
INFY.NS,2025-07-25,BUY,1515.699951171875
INFY.NS,2025-07-28,BUY,1516.0
INFY.NS,2025-07-29,BUY,1513.699951171875
TCS.NS,2025-04-29,SELL,3430.265869140625
TCS.NS,2025-04-30,SELL,3411.694580078125
TCS.NS,2025-05-05,SELL,3412.287109375
TCS.NS,2025-05-06,SELL,3417.91796875
TCS.NS,2025-05-07,SELL,3403.19921875
TCS.NS,2025-05-08,SELL,3406.952880859375
TCS.NS,2025-05-09,SELL,3398.457763671875
TCS.NS,2025-05-12,SELL,3576.366943359375
TCS.NS,2025-06-04,BUY,3369.465087890625
TCS.NS,2025-06-05,BUY,3359.6982421875
